accuracy,loss,val_accuracy,val_loss
0.8410493731498718,0.5464361310005188,0.9930555820465088,0.033228423446416855
0.9807098507881165,0.10026974231004715,1.0,0.025583021342754364
0.9976851940155029,0.03979974985122681,1.0,0.020088668912649155
1.0,0.025199024006724358,1.0,0.016080934554338455
0.9984567761421204,0.017646797001361847,1.0,0.014163147658109665
0.9992284178733826,0.0140443816781044,1.0,0.01399792730808258
0.9992284178733826,0.012173788622021675,1.0,0.013613220304250717
0.9984567761421204,0.010821322910487652,1.0,0.013119242154061794
1.0,0.009742886759340763,1.0,0.01298362948000431
1.0,0.006673968862742186,1.0,0.012443747371435165
