accuracy,loss,val_accuracy,val_loss
0.8410493731498718,0.6899371147155762,0.9791666865348816,0.2480371594429016
0.9837962985038757,0.15621976554393768,0.9791666865348816,0.1302671879529953
0.9922839403152466,0.09078697860240936,0.9791666865348816,0.09425686299800873
0.9945987462997437,0.06394628435373306,0.9861111044883728,0.07466079294681549
0.9961419701576233,0.049302469938993454,0.9930555820465088,0.06134534627199173
0.9969135522842407,0.03893188014626503,0.9930555820465088,0.05240998789668083
0.9984567761421204,0.0321706160902977,0.9930555820465088,0.044965121895074844
0.9984567761421204,0.026795675978064537,1.0,0.04047248139977455
0.9984567761421204,0.023045213893055916,1.0,0.036607250571250916
0.9992284178733826,0.019943557679653168,1.0,0.033333685249090195
